cause_medium,year,age_name,sex,measure,nm_mean
Diabetes,2010,70-74 years,Males,death,4914.36
Diabetes,2010,75-79 years,Males,death,5291.23
Diabetes,2010,80+ years,Males,death,13867.2
Diabetes,2010,All ages,Males,death,41336.8
Diabetes,2010,5-14 years,Males,death,13.4093
Diabetes,2010,Under 5 years,Females,death,12.4541
Diabetes,2010,15-19 years,Females,death,21.7304
Diabetes,2010,20-24 years,Females,death,53.9391
Diabetes,2010,25-29 years,Females,death,103.792
Diabetes,2010,30-34 years,Females,death,170.45
Diabetes,2010,35-39 years,Females,death,266.807
Diabetes,2010,40-44 years,Females,death,475.154
Diabetes,2010,45-49 years,Females,death,863.901
Diabetes,2010,50-54 years,Females,death,1514.44
Diabetes,2010,55-59 years,Females,death,2301.01
Diabetes,2010,60-64 years,Females,death,3254.1
Diabetes,2010,65-69 years,Females,death,3822.58
Diabetes,2010,70-74 years,Females,death,4456.15
